ID,dataset,model,prompt,csv_file,d_ece,d_ece_ci_lower,d_ece_ci_upper,d_ece_se,ece,ece_ci_lower,ece_ci_upper,ece_se,brier,brier_ci_lower,brier_ci_upper,brier_se,ap_success,ap_success_ci_lower,ap_success_ci_upper,ap_success_se,ap_errors,ap_errors_ci_lower,ap_errors_ci_upper,ap_errors_se,auc_roc,auc_roc_ci_lower,auc_roc_ci_upper,auc_roc_se,acc,acc_ci_lower,acc_ci_upper,acc_se,nll,nll_ci_lower,nll_ci_upper,nll_se
vy1n12lt,HotpotQA,DeepSeek-V3,Chain of Thought,vy1n12lt.csv,0.39764529058116227,0.370002004008016,0.42655485971943885,0.014738285070938708,0.3976452905811632,0.36966733466933843,0.4265548597194385,0.01476278694912501,0.38907745490981965,0.365560999498998,0.41362847695390786,0.012454382671888527,0.6209483137466671,0.5822426266965598,0.6586592188430626,0.01975642581747065,0.6705298959271555,0.6301106061745538,0.7104349711976149,0.019871162533899117,0.6855562026790915,0.6552433141316323,0.7158964190551157,0.01578719010369643,0.4939879759519038,0.4639028056112225,0.5240731462925852,0.015286361726257254,1.9248119599145077,1.6312260079769985,2.286097018512648,0.16401288464831845
uo2u5m33,HotpotQA,DeepSeek-V3,Multistep,uo2u5m33.csv,,,,,0.060520974774999986,0.044751420987499776,0.09459870837687498,0.012794241222376138,0.2275421625920227,0.2167716576982035,0.23907358754449948,0.0058594961992860855,0.6441070379847317,0.5977866579991779,0.6894084347280689,0.023372031295115555,0.7011428164473075,0.6589062648571067,0.7398018254697879,0.021038089685675564,0.6911204481792717,0.6580194016184341,0.7212203890119001,0.016362338142950808,0.49,0.46,0.524,0.016012017477622986,0.9145485400100254,0.7422780896121726,1.1297099802870907,0.09966700320431876
5fdai5h7,HotpotQA,DeepSeek-V3,Top-k,5fdai5h7.csv,0.38927,0.36063824999999994,0.41846175,0.01475365357313761,0.38927000000000117,0.3606382500000015,0.4184617499999999,0.014754857054309053,0.3614953,0.3430429125000001,0.3801532425,0.009664764820929343,0.5032468255486515,0.46276683908361,0.5487198002845464,0.022436151342725086,0.7666265276233685,0.7309530457396425,0.7989312892006535,0.01754585798973295,0.6887656277513646,0.6549528794335141,0.7210292004931156,0.01670368714678719,0.369,0.339,0.4,0.015541860681187233,1.0997906442801542,0.9865551592556006,1.2304499218961564,0.06275526962096481
71fhbj6s,MuSiQue,DeepSeek-V3,Top-k,71fhbj6s.csv,0.59765,0.57969875,0.6153075,0.009115271384463131,0.5976500000000006,0.5796987500000003,0.6153075000000003,0.009175802420500381,0.4411425000000001,0.42631850000000004,0.45698437500000005,0.007603632070310923,0.11864115088148722,0.08453685588747648,0.16537989671410852,0.020713198762024702,0.9608503657641604,0.9466686675178255,0.9734879203499297,0.007017517213005302,0.6887700534759357,0.6250298817502659,0.7497114754559373,0.032225535776502355,0.065,0.051,0.081,0.007809124241643323,1.3294842383036711,1.193759245745812,1.488821221780061,0.08037084688298049
nrs6ugxw,MuSiQue,DeepSeek-V3,Direct,nrs6ugxw.csv,0.56565,0.5475475,0.58355125,0.009404038115106208,0.5656499999999973,0.5475474999999974,0.5835512499999974,0.009405741254470336,0.40482250000000003,0.39152000000000003,0.41834843750000006,0.0069388288747739835,0.15872870792048205,0.10570317649213518,0.2308239063436419,0.03179915041763402,0.9682118168131023,0.9558003988540563,0.9784427558083415,0.005716619724456368,0.7331221719457014,0.6645246182415591,0.793000831912321,0.03252044243645423,0.065,0.051,0.081,0.007842962964853784,1.07969747076641,1.0199508963984727,1.1696363373682492,0.03853311256518833
l1vy1axf,MuSiQue,DeepSeek-V3,Multistep,l1vy1axf.csv,,,,,0.2371619634050001,0.21504742385575015,0.2600148356760001,0.011299438173313933,0.18342726846957122,0.1733229417622338,0.19443983177430904,0.005298862211680807,0.26647740460393354,0.21746424674659723,0.33638193413665657,0.030080424252514504,0.9306634782380709,0.9126912321435995,0.9471540971509106,0.008574443423507456,0.7088525441329179,0.6639954618852465,0.7487301496119281,0.021459431749562802,0.144,0.123,0.16502499999999998,0.010646987054248413,0.6761513128895384,0.5549888971367969,0.8337917225490055,0.07223795591007814
b0ref9y2,2WikiMultihopQA,DeepSeek-V3,Direct,b0ref9y2.csv,0.30965,0.28044250000000004,0.33871999999999997,0.014546101651327432,0.30964999999999615,0.280439999999996,0.3387199999999962,0.014562767294328658,0.30950249999999996,0.296073875,0.32241231249999996,0.006747360504191051,0.3874929683240953,0.3488381443123105,0.42986697641134153,0.021315570787752525,0.766387050232303,0.7387527527282942,0.793736131824609,0.014252016582625798,0.6109744590410231,0.5775090234176778,0.6420311965811965,0.01701126609851597,0.322,0.291975,0.35,0.014723264941259825,0.82281973134444,0.79206386148234,0.8522613200104975,0.015521053269331215
krk5jsfl,HotpotQA,DeepSeek-V3,Direct,krk5jsfl.csv,0.3401,0.30959624999999996,0.3677012500000001,0.014650740467165345,0.34010000000000085,0.3095962500000011,0.3677012500000008,0.014674864213330193,0.334425,0.3168168125,0.35153275,0.009067145108566139,0.5528661315198938,0.5121258635754733,0.5994537378829453,0.02255604366815112,0.7358613685332949,0.7015548429243832,0.768887327817338,0.01714739872973935,0.691460663034018,0.6601564642391887,0.721752526939764,0.015864848814576348,0.413,0.384,0.445,0.015447396481545292,0.950031259153016,0.8816875203622273,1.0448089397930196,0.04099052724251742
ck1php1l,2WikiMultihopQA,DeepSeek-V3,Multistep,ck1php1l.csv,,,,,0.09506890238689987,0.07580917199275994,0.12855474992169239,0.013670276353659479,0.24354536812642502,0.2307338720788208,0.25663944271201045,0.00678346939090699,0.565150032923874,0.519184142654151,0.6188271247586009,0.025109721879686582,0.6822555072665337,0.6380560712385779,0.7256225745600573,0.02158094623931247,0.6424468533281483,0.6084563826124979,0.6768537781603662,0.017685679951128873,0.444,0.414,0.475025,0.01549144072498539,0.7975715346533137,0.6963192121651446,0.9385310789524042,0.06404499193369523
kjphnu2e,MuSiQue,DeepSeek-V3,Chain of Thought,kjphnu2e.csv,0.6899094567404427,0.666602615694165,0.7114215291750503,0.011579996380204249,0.6898893360160928,0.6666011066398349,0.7114200201207203,0.011582213496403582,0.6055693158953723,0.5852970724346077,0.6257072132796782,0.010210695326057399,0.24761099319963492,0.20678129413904464,0.2927036365907709,0.021856391383365262,0.9282241387069224,0.9131819276209777,0.941516828201694,0.007286701794438185,0.7278043422072887,0.6899748661019097,0.7599440644683532,0.01768737938968436,0.14688128772635814,0.12474849094567404,0.17002012072434608,0.011340045154446473,2.3597591720725917,2.086857423356426,2.6858419338638644,0.15354652227498625
ej74u5a3,2WikiMultihopQA,DeepSeek-V3,Chain of Thought,ej74u5a3.csv,0.4096092184368737,0.3808907815631263,0.4380691382765531,0.01483559772264137,0.4089078156312632,0.3800298096192388,0.4374215931863734,0.01487462889046601,0.40226062124248496,0.37721650551102204,0.42626562875751506,0.01264428494838422,0.6169058225071545,0.5769090521649659,0.6587987415147605,0.02073253081399781,0.6989481566447308,0.6610826902638469,0.734349754316081,0.01842263909755799,0.6942948406922206,0.6622927244519665,0.7234674779532954,0.015674356622876535,0.4589178356713427,0.4308617234468938,0.4909819639278557,0.015495145492485506,1.8387085713046432,1.539950618747154,2.115010662561808,0.14798235183086886
f18dra4e,2WikiMultihopQA,DeepSeek-V3,Top-k,f18dra4e.csv,0.36755000000000004,0.34014500000000003,0.3943,0.013701022937249136,0.3668499999999987,0.3398999999999987,0.3942024999999985,0.013709642080064114,0.3413075,0.326715,0.355352375,0.007223216658032812,0.3429533754674565,0.30643171642548206,0.3861282965713856,0.01976631436215274,0.7759565575433731,0.7455549306872076,0.8068029432728966,0.01602254598054696,0.5977696192245182,0.5618453164537306,0.6336506646032498,0.018746766485519525,0.292,0.265,0.319,0.014008815185550232,0.9487211719148911,0.8896693798479358,1.036637463247822,0.039165078182704496
gp51vabc,2WikiMultihopQA,Llama-3.3-70B,Top-k,gp51vabc.csv,0.3904600000000001,0.36005675,0.4177125,0.014814708105617696,0.39044000000000306,0.36002650000000264,0.4176922500000032,0.014828071935681052,0.37085260000000003,0.3521245050000001,0.38802513000000005,0.009116000171705795,0.3777170625445777,0.3353823647412771,0.4259757475652544,0.022717982681166888,0.7610014662680982,0.7311212589066463,0.7902602376776392,0.015049389992666218,0.5795691598336749,0.5439174867915408,0.6141912690572717,0.0185381314451632,0.311,0.284,0.339025,0.014603910373533468,1.3304110227841262,1.124106434967324,1.5620581099462174,0.11012228931676256
