,id,question,answer,type,response,prediction,confidence,f1,em,gpt_eval
0,695d5d160bdc11eba7f7acde48001122,Where was the director of film Breakup Buddies born?,Taiyuan,compositional,Answer: China Confidence: 0.8,China,0.8,0.0,0,1
1,d8de3d3d088411ebbd6dac1f6bf848b6,Do Jean-Martin De Prades and Marcel Henry have the same nationality?,yes,comparison,Answer: Yes Confidence: 0.8,Yes,0.8,1.0,1,1
2,dc53832a0bd911eba7f7acde48001122,Where was the director of film Silks And Satins born?,Colorado,compositional,Answer: Birmingham Confidence: 0.2,Birmingham,0.2,0.0,0,0
3,05a2dec4088811ebbd6eac1f6bf848b6,Do both films Just Getting Started (Film) and The Dove'S Lost Necklace have the directors that share the same nationality?,no,bridge_comparison,Answer: No Confidence: 0.8,No,0.8,1.0,1,1
4,4ed23bf80bda11eba7f7acde48001122,Where was the performer of song (Last Night) I Heard You Crying In Your Sleep born?,Mount Olive,compositional,Answer: Texas Confidence: 0.8,Texas,0.8,0.0,0,0
5,d0a0a43c0bdd11eba7f7acde48001122,Which country Harald Ii Of Denmark's mother is from?,Polish,compositional,Answer: Sweden Confidence: 0.8,Sweden,0.8,0.0,0,0
6,f8378b9e08ab11ebbd82ac1f6bf848b6,"Which film has the director who is older, Three Violent People or Girls In White?",Girls In White,bridge_comparison,Answer: Three Violent People Confidence: 0.8,Three Violent People,0.8,0.0,0,0
7,fc04494a0baf11ebab90acde48001122,"Who is the paternal grandfather of Hugh Montgomerie, 7Th Earl Of Eglinton?","Robert Seton, 1st Earl of Winton",inference,"Answer: Hugh Montgomerie, 4th Earl of Eglinton 
Confidence: 0.8","Hugh Montgomerie, 4th Earl of Eglinton",0.8,0.3333333333333333,0,0
8,84b56dcc0bd911eba7f7acde48001122,Where was the director of film Little Alvin And The Mini-Munks born?,American,compositional,Answer: USA Confidence: 0.8,USA,0.8,0.0,0,1
9,47bafeb40bde11eba7f7acde48001122,"When did Joachim I, Prince Of Anhalt-Dessau's father die?",12 June 1516,compositional,"Answer: 1516 
Confidence: 0.8",1516,0.8,0.5,0,1
10,c0007a7a0bd911eba7f7acde48001122,Which award the director of film Pataakha received?,National Film Award for Best Music Direction,compositional,Answer: National Film Award Confidence: 0.8,National Film Award,0.8,0.6,0,0
11,90934fd908dc11ebbd9cac1f6bf848b6,"Which film whose director is younger, Kiladigalu or He'S My Girl?",Kiladigalu,bridge_comparison,Answer: He'S My Girl Confidence: 0.6,He'S My Girl,0.6,0.0,0,0
12,8d18786e086a11ebbd5fac1f6bf848b6,"Which film whose director is younger, Dagudu Moothalu or Port Of Seven Seas?",Dagudu Moothalu,bridge_comparison,Answer: Dagudu Moothalu Confidence: 0.6,Dagudu Moothalu,0.6,1.0,1,1
13,e28d440408ca11ebbd92ac1f6bf848b6,"Which film whose director was born first, 11 Harrowhouse or A Little Sister Of Everybody?",A Little Sister Of Everybody,bridge_comparison,Answer: 11 Harrowhouse Confidence: 0.8,11 Harrowhouse,0.8,0.0,0,0
14,e1ae74be0bda11eba7f7acde48001122,Where did the performer of song Girlfriend (Alicia Keys Song) study?,Columbia,compositional,Answer: Columbia University Confidence: 0.8,Columbia University,0.8,0.6666666666666666,0,1
15,a5e94ab0086711ebbd5eac1f6bf848b6,"Which film has the director died later, La Muerte En El Desfiladero or O, Brazen Age?",La Muerte En El Desfiladero,bridge_comparison,"Answer: O, Brazen Age 
Confidence: 0.6","O, Brazen Age",0.6,0.0,0,0
16,9509d38c0bdb11eba7f7acde48001122,When is the creator of Holland'S Next Top Model 's birthday?,"December 4, 1973",compositional,Answer: Unknown Confidence: 0.0,Unknown,0.0,0.0,0,0
17,cecadcce0bdb11eba7f7acde48001122,Where was the performer of song Suicide Social born?,Alençon,compositional,Answer: Florida Confidence: 0.8,Florida,0.8,0.0,0,0
18,d667e18f08d911ebbd9cac1f6bf848b6,"Which film has the director who was born earlier, The Marseille Contract or Strangers Of The Night?",Strangers Of The Night,bridge_comparison,"Answer: The Marseille Contract 
Confidence: 0.8",The Marseille Contract,0.8,0.0,0,1
19,64efc0e908b211ebbd85ac1f6bf848b6,"Which film has the director who was born earlier, Face Of A Fugitive or Cage Of Gold?",Cage Of Gold,bridge_comparison,"Answer: Face Of A Fugitive 
Confidence: 0.8",Face Of A Fugitive,0.8,0.3333333333333333,0,0
20,4c6a905e088311ebbd6dac1f6bf848b6,"Which film has the director died later, A Light Woman or Our Mother'S House?",Our Mother'S House,bridge_comparison,"Answer: Our Mother'S House 
Confidence: 0.8",Our Mother'S House,0.8,1.0,1,1
21,96beb0b3086111ebbd5dac1f6bf848b6,"Which film came out earlier, Call Of The Flesh or Blonde Or Brunette?",Blonde Or Brunette,comparison,Answer: Call Of The Flesh Confidence: 0.8,Call Of The Flesh,0.8,0.0,0,0
22,098d51b20bdb11eba7f7acde48001122,Who is the father of the composer of film Kadambari (Film)?,Shankar Ghosh,compositional,Answer: Rabindranath Tagore Confidence: 0.8,Rabindranath Tagore,0.8,0.0,0,0
23,6b58975d08df11ebbda0ac1f6bf848b6,"Which film has the director born first, Demons Of War or Farce Of The Penguins?",Farce Of The Penguins,bridge_comparison,Answer: Demons Of War Confidence: 0.8,Demons Of War,0.8,0.3333333333333333,0,0
24,f34d188608cb11ebbd93ac1f6bf848b6,"Which film has the director who was born later, Playing It Wild or I'Ll Be Going Now?",I'Ll Be Going Now,bridge_comparison,Answer: Playing It Wild Confidence: 0.6,Playing It Wild,0.6,0.0,0,0
25,0788eaa40bde11eba7f7acde48001122,Where was the place of burial of Al-Mu'Tasim's father?,Iraq,compositional,Answer: Mecca Confidence: 0.8,Mecca,0.8,0.0,0,0
26,3f4a39800bb011ebab90acde48001122,Who is the maternal grandmother of John Woodville?,Margherita del Balzo,inference,Answer: Jacquetta of Luxembourg Confidence: 0.9,Jacquetta of Luxembourg,0.9,0.0,0,0
27,27bdf22b08d111ebbd95ac1f6bf848b6,"Which film has the director who was born later, The Demi-Paradise or How To Murder Your Wife?",How To Murder Your Wife,bridge_comparison,"Answer: How To Murder Your Wife 
Confidence: 0.8",How To Murder Your Wife,0.8,1.0,1,1
28,7d8c2e1808dd11ebbd9dac1f6bf848b6,Are Irene Greif and Derrick Burroughs from the same country?,yes,comparison,Answer: Yes Confidence: 0.8,Yes,0.8,1.0,1,1
29,9d482cae0bdd11eba7f7acde48001122,Where was the father of Chung Eui-Sun born?,Gangwon Province,compositional,Answer: Japan Confidence: 0.8,Japan,0.8,0.0,0,0
30,ab69635e089811ebbd77ac1f6bf848b6,Do director of film Born American and director of film The White Raven (1998 Film) share the same nationality?,yes,bridge_comparison,Answer: Yes Confidence: 0.8,Yes,0.8,1.0,1,1
31,252632880bde11eba7f7acde48001122,When was Ting-Xing Ye's husband born?,27 October 1945,compositional,Answer: Unknown Confidence: 0.0,Unknown,0.0,0.0,0,0
32,f52b28400bdd11eba7f7acde48001122,What is the place of birth of Alexandra Hasluck's husband?,"Fremantle, Western Australia",compositional,Answer: Western Australia Confidence: 0.8,Western Australia,0.8,0.8,0,1
33,2eb7969109b111ebbdb0ac1f6bf848b6,"Which song came out first, Baby, It'S Ok or Boy Pop?",Boy Pop,comparison,"Answer: Baby, It'S Ok Confidence: 0.6","Baby, It'S Ok",0.6,0.0,0,0
34,656cfe0a0bdc11eba7f7acde48001122,"When did Helena Kantakouzene, Empress Of Trebizond's husband die?",1 November 1463,compositional,Answer: 1390 Confidence: 0.8,1390,0.8,0.0,0,0
35,90c88e1a0bdd11eba7f7acde48001122,Where did the director of film The Sun Sets At Dawn study?,Trinity Hall,compositional,Answer: UCLA Confidence: 0.8,UCLA,0.8,0.0,0,0
36,e7393616094b11ebbdaeac1f6bf848b6,"Which film was released more recently, Osmondagi Bolalar or Mcdull: Rise Of The Rice Cooker?",Mcdull: Rise Of The Rice Cooker,comparison,Answer: Mcdull: Rise Of The Rice Cooker Confidence: 0.8,Mcdull: Rise Of The Rice Cooker,0.8,1.0,1,1
37,945447800bd911eba7f7acde48001122,"When is James Stanley, 10Th Earl Of Derby's father's birthday?",19 January 1628,compositional,Answer: 1565 Confidence: 0.2,1565,0.2,0.0,0,0
38,327d00420bde11eba7f7acde48001122,Where was the place of death of the director of film The Earring?,Madrid,compositional,Answer: Rome Confidence: 0.8,Rome,0.8,0.0,0,0
39,1eeb91060bde11eba7f7acde48001122,"What is the date of birth of Sophie, Countess Of Wessex's husband?",10 March 1964,compositional,Answer: 19 June 1964 Confidence: 0.95,19 June 1964,0.95,0.3333333333333333,0,0
40,e5bc717c0bdb11eba7f7acde48001122,Where was the place of burial of the director of film Série Noire (Film)?,Père Lachaise Cemetery,compositional,"Answer: Paris 
Confidence: 0.8",Paris,0.8,0.0,0,0
41,c26c16b5086611ebbd5eac1f6bf848b6,"Which film has the director who died later, Valentin The Good or A Daughter Of Two Worlds?",Valentin The Good,bridge_comparison,"Answer: Valentin The Good 
Confidence: 0.6",Valentin The Good,0.6,1.0,1,1
42,fc3eadb408cc11ebbd93ac1f6bf848b6,"Which film has the director born first, Planet B-Boy or Where'S Officer Tuba??",Where'S Officer Tuba?,bridge_comparison,"Answer: Planet B-Boy 
Confidence: 0.6",Planet B-Boy,0.6,0.0,0,0
43,d318fb3c089111ebbd73ac1f6bf848b6,Do both Extract (Film) and Thou Wast Mild And Lovely films have the directors from the same country?,yes,bridge_comparison,Answer: Yes Confidence: 0.8,Yes,0.8,1.0,1,1
44,333f458a0bde11eba7f7acde48001122,Where did Mary Ann Angell's husband die?,Salt Lake,compositional,Answer: Carthage Jail Confidence: 0.8,Carthage Jail,0.8,0.0,0,0
